SIP Code,Project,Contract No,Contractor,Line of Business,Contract Period Start,Contract Period End, Total Budget ,Service Site,Service Site Description 
B3A,Youth Development and Educational Support,DA16-1310,Red Eagle Soaring,YDAD Youth Development,01/01/2016,12/31/2016,$64331.00,"108 S Washington #308 , Seattle, WA 98104",Various sites (primary site provided)
NA3E,Food Banks,DA16-1047,White Center Food Bank,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$37586.00,"10829 8th Ave SW, Seattle, WA 98146",Service Site
A2A,Emergency Shelters,DA16-1448,"The Salvation Army, a California Corporation",CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$169224.00,"1101 Pike, Seattle, WA 98101",Confidential Site (primary site provided if available)
A2A,Emergency Shelters,DA16-1449,"The Salvation Army, a California Corporation",CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$69092.00,"1101 Pike, Seattle, WA 98101",Confidential Site (primary site provided if available)
A2A,Emergency Shelters,DA16-1461,"The Salvation Army, a California Corporation",CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$344302.00,"1101 Pike, Seattle, WA 98101",Confidential Site (primary site provided if available)
C3A,Domestic Violence Shelters & Housing,DA16-1575,"The Salvation Army, a California Corporation",MODVSAP,01/01/2016,12/31/2016,$297004.00,"1101 Pike, Seattle, WA 98101",Confidential Site (primary site provided if available)
C3A,Domestic Violence Shelters & Housing,DA16-2460,"The Salvation Army, a California Corporation",MODVSAP,01/01/2016,12/31/2016,$139607.00,"1101 Pike, Seattle, WA 98101",Confidential Site (primary site provided if available)
C3B,Domestic Violence Victims Services,DA14-1069,"The Salvation Army, a California Corporation",DVO Domestic and Sexual Violence Prevention,01/01/2014,12/31/2016,$157756.00,"1101 Pike, Seattle, WA 98101",Confidential Site (primary site provided if available)
C3A,Domestic Violence Shelters & Housing,DA16-3410,"The Salvation Army, a California Corporation",MODVSAP,01/01/2016,12/31/2016,$48326.00,"1101 Pike, Seattle, WA 98101",Confidential Site (primary site provided if available)
C3B,Domestic Violence Victims Services,DA16-5945,"The Salvation Army, a California Corporation",MODVSAP,01/01/2016,12/31/2016,$69012.00,"1101 Pike, Seattle, WA 98101",Confidential Site (primary site provided if available)
NA2A,Homeless Services for Individuals and Families,DA16-1078,YWCA of Seattle-King County-Snohomish County,HSI-Contracts,07/01/2016,12/31/2017,$1268260.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1123,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$336956.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
B3A,Youth Development and Educational Support,DA16-1235,YWCA of Seattle-King County-Snohomish County,YDAD Youth Development,01/01/2016,12/31/2016,$64331.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1302,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$157925.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A2A,Emergency Shelters,DA16-1355,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$463783.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A2B,Transitional Housing,DA16-1356,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$20953.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A2A,Emergency Shelters,DA16-1414,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$232808.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1431,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$113208.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A2D,Resources for Housing,DA16-1453,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$115394.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
NA2A,Homeless Services for Individuals and Families,DA16-1569,YWCA of Seattle-King County-Snohomish County,HSI-Contracts,07/01/2016,12/31/2017,$2558252.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA16-1090,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,02/01/2016,01/31/2017,$111725.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A2E,Day Centers,DA16-1316,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$105413.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1391,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$111221.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1394,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$471189.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
C2A,DV & SA Response System Improvement,DA16-1504,YWCA of Seattle-King County-Snohomish County,MODVSAP,01/01/2016,12/31/2016,$2500.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
NA2A,Homeless Services for Individuals and Families,DA16-1605,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,07/01/2016,12/31/2017,$1857958.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1623,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,03/15/2016,12/31/2017,$200000.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A2A,Emergency Shelters,DA16-1647,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,07/01/2016,12/31/2016,$230071.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A2C,Permanent Supportive Housing,DA16-1652,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,10/01/2016,09/30/2017,$113714.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A2A,Emergency Shelters,DA16-1727,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,01/01/2016,06/30/2016,$851554.21,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
C3B,Domestic Violence Victims Services,DA16-3748,YWCA of Seattle-King County-Snohomish County,MODVSAP,01/01/2016,12/31/2016,$250664.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
A2A,Emergency Shelters,DA16-5227,YWCA of Seattle-King County-Snohomish County,CSD Emergency and Transitional Svcs,04/16/2016,06/30/2016,$60515.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
C3A,Domestic Violence Shelters & Housing,DA16-7357,YWCA of Seattle-King County-Snohomish County,MODVSAP,01/01/2016,12/31/2016,$157885.00,"1118 5th Ave, Seattle, WA 98101",Various sites (primary site provided)
NA3G,Home Food Delivery,DA16-1377,Lifelong AIDS Alliance,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$253420.00,"1161 11th Ave, Seattle, WA 98122",Various sites (primary site provided)
A3G,Home Food Delivery,DA16-1164,Lifelong AIDS Alliance,ADS Area Agency on Aging,01/01/2016,12/31/2016,$637103.00,"1161 11th Ave, Seattle, WA 98122",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1091,"Neighborhood House, Inc.",CSD Emergency and Transitional Svcs,07/01/2016,06/30/2017,$558376.00,"1200 12th Ave S, Suite 901, Seattle, WA 98144",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1145,"Neighborhood House, Inc.",CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$185875.00,"1200 12th Ave S, Suite 901, Seattle, WA 98144",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1168,"Neighborhood House, Inc.",CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$388288.54,"1200 12th Ave S, Suite 901, Seattle, WA 98144",Various sites (primary site provided)
D5B,Case Management for Seniors and Adults w/ Disabilities,DA16-1173,"Neighborhood House, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$814865.00,"1200 12th Ave S, Suite 901, Seattle, WA 98144",Various sites (primary site provided)
E4A,Policy Advocacy,DA16-1196,"Neighborhood House, Inc.",LAD Leadership & Administration,01/01/2016,12/31/2016,$56559.00,"1200 12th Ave S, Suite 901, Seattle, WA 98144",Primary site
ND5F,Family Caregiver Support Program,DA16-1288,"Neighborhood House, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$143628.00,"1200 12th Ave S, Suite 901, Seattle, WA 98144",Various sites (primary site provided)
E1B,Protecting Assets,DA16-1475,"Neighborhood House, Inc.",Resource Development,01/01/2016,02/29/2016,$49975.00,"1200 12th Ave S, Suite 901, Seattle, WA 98144",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA16-1549,"Neighborhood House, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$300840.00,"1200 12th Ave S, Suite 901, Seattle, WA 98144",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-1609,"Neighborhood House, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$19207.00,"1200 12th Ave S, Suite 901, Seattle, WA 98144",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA15-1288,"Neighborhood House, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$143628.00,"1200 12th Ave S, Suite 901, Seattle, WA 98144",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA15-1549,"Neighborhood House, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$300000.00,"1200 12th Ave S, Suite 901, Seattle, WA 98144",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA15-1609,"Neighborhood House, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$19207.00,"1200 12th Ave S, Suite 901, Seattle, WA 98144",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1383,"Neighborhood House, Inc.",CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$153311.00,"1200 12th Ave S, Suite 901, Seattle, WA 98144",Various sites (primary site provided)
C3D,Elder Abuse Prevention,DA16-1071,Multi-Service Center,ADS Area Agency on Aging,01/01/2016,12/31/2016,$73354.00,"1200 S 336th St, Federal Way, WA 98003",Various sites (primary site provided)
Z1A,General Administration,DC16-1622,Watanabe Consultation,ADS Area Agency on Aging,03/15/2016,12/31/2016,$481.25,"1204 North Allen Pl, Seattle, WA 98103",Primary site
ND5F,Family Caregiver Support Program,DA15-1536,King County Public Hospital District #2,ADS Area Agency on Aging,07/01/2015,06/30/2016,$160288.55,"12040 NE 128th St, Kirkland, WA 98034",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA15-1536,King County Public Hospital District #2,ADS Area Agency on Aging,07/01/2015,06/30/2016,$1620.00,"12040 NE 128th St, Kirkland, WA 98034",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA15-1558,King County Public Hospital District #2,ADS Area Agency on Aging,07/01/2015,06/30/2016,$256093.00,"12040 NE 128th St, Kirkland, WA 98034",Various sites (primary site provided)
D5B,Case Management for Seniors and Adults w/ Disabilities,DA15-5161,King County Public Hospital District #2,ADS Area Agency on Aging,10/01/2015,05/31/2016,$1346121.00,"12040 NE 128th St, Kirkland, WA 98034",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA16-1536,King County Public Hospital District #2,ADS Area Agency on Aging,07/01/2016,06/30/2017,$44158.00,"12040 NE 128th St, Kirkland, WA 98034",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA16-1536,King County Public Hospital District #2,ADS Area Agency on Aging,07/01/2016,06/30/2017,$373660.00,"12040 NE 128th St, Kirkland, WA 98034",Various sites (primary site provided)
D2B,Mental Health,DA16-5127,King County Public Hospital District #2,ADS Area Agency on Aging,01/01/2016,12/31/2016,$11156.40,"12040 NE 128th St, Kirkland, WA 98034",Service Site
A2J,Homeless Outreach and Case Management,DA15-5537,King County,CSD Emergency and Transitional Svcs,07/01/2015,08/31/2016,$404148.00,"1211 E Alder St, Seattle, WA 98122",Various sites (primary site provided)
C1F,Crime Prevention & Re-Entry Services,DM16-5206,King County Department of Community and Human Services,YDAD Youth Development,06/01/2016,12/31/2016,$259000.00,"1211 E Alder St, Seattle, WA 98122",Primary site
B3B,Youth Employment and Training,DA16-1730,King County,YDAD Youth Development,02/01/2016,12/31/2016,$85439.00,"1211 E Alder St, Seattle, WA 98122",Various sites (primary site provided)
A2B,Transitional Housing,DA16-1374,Immanuel Community Services (ICS),CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$36173.00,"1215 Thomas St, Seattle, WA 98109",Service Site
A2F,Hygiene Services,DA16-1374,Immanuel Community Services (ICS),CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$28220.00,"1215 Thomas St, Seattle, WA 98109",Service Site
E3A,Community Facilities,DA15-5254,Sound Child Care Solutions,CSD Community Facilities,06/01/2015,03/31/2016,$755000.00,"1225 S Weller St #200, Seattle, WA 98144",Primary site
A2E,Day Centers,DA16-1397,Seattle Indian Center,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$177581.00,"1265 S Main St #105, Seattle, WA 98144",Service Site
NA3E,Food Banks,DA16-3399,Seattle Indian Center,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$40000.00,"1265 S Main St #105, Seattle, WA 98144",Primary site
NA3A,Meal Programs,DA16-3399,Seattle Indian Center,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$57074.00,"1265 S Main St #105, Seattle, WA 98144",Service Site
E3C,Administrative Operations,DA16-1205,Nonprofit Assistance Center,Resource Development,01/01/2016,12/31/2016,$157925.00,"1265 S Main St,  Suite 303A & B, Seattle, WA 98144",Primary site
NA3E,Food Banks,DA16-1052,North Helpline,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$37489.00,"12736 33rd Ave NE , Seattle, WA 98125",Service Site
D5F,Family Caregiver Programs,DA15-4004,Elder and Adult Day Services,ADS Area Agency on Aging,07/01/2015,06/30/2016,$22000.00,"12831 NE 21st Pl, Bellevue, WA 98005",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-4004,Elder and Adult Day Services,ADS Area Agency on Aging,07/01/2016,06/30/2017,$7000.00,"12831 NE 21st Pl, Bellevue, WA 98005",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1573,Friends of Youth,CSD Emergency and Transitional Svcs,08/01/2016,07/31/2017,$93792.00,"13116 NE 132nd St, Kirkland, WA 98034-2306",Various sites (primary site provided)
A2G,Homeless Youth Services,DA15-1423,Friends of Youth,YDAD Youth Development,10/01/2015,09/30/2016,$202177.00,"13116 NE 132nd St, Kirkland, WA 98034-2306",Confidential Site (primary site provided if available)
A2G,Homeless Youth Services,DA16-1423,Friends of Youth,HSI-Contracts,10/01/2016,09/30/2017,$202989.00,"13116 NE 132nd St, Kirkland, WA 98034-2306",Various sites (primary site provided)
A3B,Senior Congregate Meal Programs,DA16-1107,Ukrainian Community Center of Washington,ADS Area Agency on Aging,04/01/2016,12/31/2016,$42060.00,"13470 Martin Luther King Jr Way S, Seattle, WA 98178",Service Site
D2A,Health Promotion and Wellness,DA16-1107,Ukrainian Community Center of Washington,ADS Area Agency on Aging,04/01/2016,12/31/2016,$3864.00,"13470 Martin Luther King Jr Way S, Seattle, WA 98178",Service Site
C1C,Youth Mentoring,DA16-1458,Clergy Community Children Youth Coalition,YDAD Youth Development,01/01/2016,12/31/2016,$78963.00,"1404 East Yesler Way, Suite 202A, Seattle , WA 98122",Service Site
C1C,Youth Mentoring,DA16-1753,Clergy Community Children Youth Coalition,YDAD Youth Development,01/01/2016,12/31/2016,$59064.00,"1404 East Yesler Way, Suite 202A, Seattle , WA 98122",Service Site
D5A,Home Care and In Home Services,DA15-1556,Elite Home Care,ADS Area Agency on Aging,07/01/2015,06/30/2016,$86736.00,"14040 NE 8th St #101 , Bellevue, WA 98007",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA15-1556,Elite Home Care,ADS Area Agency on Aging,07/01/2015,06/30/2016,$7700.00,"14040 NE 8th St #101 , Bellevue, WA 98007",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-1556,Elite Home Care,ADS Area Agency on Aging,07/01/2016,06/30/2017,$7700.00,"14040 NE 8th St #101 , Bellevue, WA 98007",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA16-1556,Elite Home Care,ADS Area Agency on Aging,07/01/2016,06/30/2017,$105710.88,"14040 NE 8th St #101 , Bellevue, WA 98007",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-7324,Encompass Northwest,ADS Area Agency on Aging,07/01/2016,06/30/2017,$30770.00,"1407 Boalch Ave Northwest, North Bend, WA 98045",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA15-7324,Encompass Northwest,ADS Area Agency on Aging,07/01/2015,06/30/2016,$30770.00,"1407 Boalch Ave Northwest, North Bend, WA 98045",Various sites (primary site provided)
NA3A,Meal Programs,DA16-1595,ROOTS Young Adult Shelter,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$18892.00,"1415 NE 43rd St , Seattle, WA 98105",Service Site
